"id","titulo","descripcion","area","tipo_tarea","avisar_cliente","reporte_interno","estado","cliente","fecha_programacion","hora_programacion","alerta_retraso_enviada","dias_programacion","fecha_limite","tiempo_estimado","tiempo_real","recursos","notas","reporte","modalidad","factura","motivo_no_factura","creado_por","creado_en","actualizado_en","realizado_en","enviada_en","programado_en","reporte_archivo","seguimiento_fecha","seguimiento_historial","solicitud_admin","solicitud_comercial","admin_tarea_id","comercial_tarea_id","cotizacion_docx","incluye_prog"
"cot_granate_cctv","Granate - Cotización actualización CCTV",,"comercial","evento","1","0","enviada","Granate","0000-00-00","08:00","0","1","0000-00-00",,,,,,NULL,,NULL,"CAC","2026-06-10 19:53:05","2026-06-16 17:43:01",NULL,"2026-06-16 17:43:01",NULL,NULL,"2026-06-19","[]",,,NULL,NULL,NULL,"0"
"cot_mirador_cctv","Cotización CCTV",,"comercial","evento","1","0","enviada","Mirador del Rio","0000-00-00","08:00","0","1","0000-00-00",,,,,,NULL,,NULL,"CAC","2026-06-10 19:53:02","2026-06-10 19:53:02",NULL,"2026-06-10 19:53:02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"cot_segovia_cctv","Cotización actualización CCTV",,"comercial","evento","1","0","enviada","Segovia","0000-00-00","08:00","0","1","0000-00-00",,,,,,NULL,,NULL,"CAC","2026-06-10 19:53:03","2026-06-13 22:41:14",NULL,"2026-06-10 19:53:03",NULL,NULL,"2026-06-16","[{""fecha"":""2026-06-14"",""nota"":""en proceso""}]",,,NULL,NULL,NULL,"0"
"mq6yimbvir69s3c4y4m","VH - router y cableado porteria a centro monitoreo","Comprar router en tecnoplaza, llevar cable para hacer patchcord. Instalar router en porteria para cambio de segmento de internet a compatible con camaras. Salida router no dchp, solo ip fija para evitar conflictos","if","evento","1","0","archivado","VH","2026-06-12","08:00","0","1","0000-00-00",,,,,"reporte en papel",NULL,"FE1807",NULL,"CAC","2026-06-10 19:52:57","2026-06-22 22:23:55","2026-06-12 16:59:26","2026-06-11 12:16:03",NULL,NULL,NULL,"[]",,,NULL,NULL,NULL,"0"
"mq6zpojcqqka2cr0gfk","sistema CCTV instalacion",,"if","evento","0","0","archivado","CONJUNTO RESIDENCIAL PORTAL DE LA ALAMEDA DOS - PROPIEDAD HORIZONTAL","2026-06-30","08:00","1","13","0000-00-00",,,,,NULL,"en_sitio",,NULL,"CAC","2026-06-10 19:52:56","2026-08-01 15:15:21","2026-07-23 08:41:44",NULL,"2026-05-01 00:00:00",NULL,NULL,"[]",,,NULL,NULL,NULL,"0"
"mq8ja1ezs76r1wg69em","Camara en comedor Beisbol","Cotizar el montaje de una camara en el área de comedor en Beisbol Palmira","if","evento","1","0","por-cotizar","Beisbol","0000-00-00","08:00","0","1","0000-00-00",,,,,,NULL,,NULL,NULL,"2026-06-10 15:41:01","2026-06-10 15:42:32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"mq9jra7mwlw4pk6f27","Instalacion monitor industrial 32",,"if","evento","1","0","realizado","PARQUE INDUSTRIAL Y COMERCIAL ACEROSA PROPIEDAD HORIZONTAL","2026-07-01","08:00","0","1","0000-00-00",,,,,NULL,"en_sitio",,NULL,NULL,"2026-06-11 08:42:12","2026-07-01 09:36:54","2026-07-01 09:36:54","2026-06-17 15:11:57",NULL,NULL,"2026-06-22","[]",,,NULL,NULL,"CTINN1992 - PARQUE INDUSTRIAL ACEROSA - Monitor CCTV.docx","0"
"mq9rel9dkv68la83ju","BEISBOL - camaras adicionales",,"comercial","evento","1","0","enviada","BEISBOL DE COLOMBIA S.A. S","0000-00-00","08:00","0","1","0000-00-00",,,,,NULL,NULL,,NULL,NULL,"2026-06-11 12:16:16","2026-07-11 11:45:13",NULL,"2026-07-11 11:45:13",NULL,NULL,"2026-07-15","[]",,,NULL,NULL,NULL,"0"
"mq9zom4yrx98qj7rgc","PANCE CAMPESTRE - esclusa vehicular",,"comercial","evento","1","0","por-cotizar",,"0000-00-00","08:00","0","1","0000-00-00",,,,,,NULL,,NULL,NULL,"2026-06-11 16:08:02","2026-06-11 16:08:02",NULL,NULL,NULL,NULL,NULL,"[]",NULL,NULL,NULL,NULL,NULL,"0"
"mqbbgkvcjk34qkucr1r","Luminarias","LAGUNA SECA - luminarias","if","evento","1","0","realizado","PARCELACION CAMPESTRE LAGUNA SECA - PROPIEDAD HORIZONTAL","2026-06-17","08:00","0","1","0000-00-00",,,,,"2w",NULL,,NULL,NULL,"2026-06-12 14:25:28","2026-06-22 22:23:29","2026-06-22 22:23:29",NULL,"2026-06-17 15:41:14",NULL,NULL,"[]",,,NULL,NULL,NULL,"0"
